NS_Row,WE_Row,Name,subpop,group,Bolt_Photo_num,Plant_Date,Germ_Date,Bolt_Date,Flower_Date,Height_1st_Flower_cm,Blossom_Collected,Seed_Set,Died,Notes,,,
27,6,RACA,crop,crop,"428, 429",5/29/13,6/4/13,7/5/13,7/9/13,56.5,7/16/13,7/22/13,,,,,
27,12,SAES,lanmar,native,,5/29/13,6/5/13,,,,,,,,,,
27,13,WMBG,crop,crop,"1055, 1056",5/29/13,6/2/13,8/20/13,,,,,,,,,
27,14,LBBC,crop,crop,"689,690",5/29/13,6/6/13,8/5/13,8/9/13,58,8/14/13,8/14/13,9/20/13,Dying 9/9,,,
27,17,CGBC,crop,crop,"623,624",5/29/13,6/6/13,8/1/13,8/5/13,24.5,8/14/13,8/14/13,,,,,
28,1,CBES,lanmar,native,,5/29/13,,,,,,,,,,,
28,3,MAES,maes,native,,5/29/13,,,,,,,,,,,
28,4,TOBG,crop,crop,,5/29/13,6/4/13,,,,,,,Dying 7/29,,,
28,5,NELO,crop,crop,,5/29/13,6/2/13,,,,,,,,,,
28,6,RABG,crop,crop,"496, 497",5/29/13,6/2/13,7/10/13,7/15/13,36,7/16/13,7/22/13,,,,,
28,7,MYJO,crop,crop,,5/29/13,6/2/13,,,,,,,,,,
28,8,LBBC,crop,crop,,5/29/13,6/5/13,,,,,,,,,,
28,9,DAJO,crop,crop,"1156, 1157",5/29/13,6/2/13,10/4/13,,,,,,,,,
28,12,SPNK,crop,crop,"430, 431",5/29/13,6/2/13,7/5/13,7/14/13,28,7/16/13,7/18/13,,,,,
28,15,DAJO,crop,crop,,5/29/13,6/2/13,,,,,,9/9/13,,,,
28,16,MABG,crop,crop,"462, 463",5/29/13,6/2/13,7/8/13,7/15/13,53,7/16/13,8/5/13,,,,,
28,17,RBBC,crop,crop,,5/29/13,6/2/13,,,,,,,Dying 7/22,,,
29,1,BINY,weed,weed,,5/29/13,,,,,,,,,,,
29,5,PABS,crop,crop,,5/29/13,6/2/13,,,,,,9/9/13,Dying 9/3,,,
29,6,RBBC,crop,crop,,5/29/13,6/2/13,,,,,,,,,,
29,7,FGBC,crop,crop,,5/29/13,6/2/13,8/23/13,9/3/13,48,9/20/13,9/9/13,,,,,
29,8,DAJO,crop,crop,,5/29/13,6/2/13,,,,,,,,,,
29,9,RBBC,crop,crop,,5/29/13,6/2/13,,,,,,,,,,
29,13,DAJO,crop,crop,,5/29/13,6/2/13,,,,,,,,,,
29,15,CBBG,crop,crop,"691,692",5/29/13,6/2/13,8/5/13,8/13/13,51,8/14/13,8/27/13,,,,,
29,16,RABS,crop,crop,"1057, 1058",5/29/13,6/2/13,8/20/13,8/23/13,65,9/20/13,9/3/13,,,,,
